sku,product_title,shopify_product_id,shopify_variant_id,product_collection
745934543604,Midnight Garden - 2 Items,4638111268922,32239911829562,Midnight Garden - 2 Items
745934543611,Midnight Garden - 3 Items,4638111989818,32239912747066,Midnight Garden - 3 Items
745934543628,Midnight Garden - 5 Items,4638113300538,32239915434042,Midnight Garden - 5 Items
