prod_id_key,prod_id_value,next_month_prod_id,prepaid,,,,,,
Street Smarts - 3 Items,1607819821107,1644903235635,f,,,,,,
Street Smarts - 5 items,1607819886643,1644903432243,f,,,,,,
Street Smarts - 3 Items  Auto renew,1607881850931,1644903235635,f,,,,,,
Street Smarts - 5 items  Auto renew,1607883882547,1644903432243,f,,,,,,
Street Smarts 2 - 3 Items,1612430737459,1644903235635,f,,,,,,
Street Smarts 2 - 5 Items,1612432703539,1644903432243,f,,,,,,
Street Smarts 2 - 3 Items  Auto renew,1612546703411,1644903235635,f,,,,,,
Street Smarts 2 - 5 Items  Auto renew,1612548079667,1644903432243,f,,,,,,
Snug Life - 3 Items,1607818903603,1644903235635,f,,,,,,
Snug Life - 5 Items,1607819034675,1644903432243,f,,,,,,
Snug Life - 3 Items  Auto renew,1607886929971,1644903235635,f,,,,,,
Snug Life - 5 Items  Auto renew,1607894040627,1644903432243,f,,,,,,
Never Basic - 3 Items,1612238389299,1644903235635,f,,,,,,
Never Basic - 5 Items,1612240027699,1644903432243,f,,,,,,
Never Basic - 3 Items  Auto renew,1612245205043,1644903235635,f,,,,,,
Never Basic - 5 Items  Auto renew,1612245631027,1644903432243,f,,,,,,
Blush Crush - 3 Items,1607818182707,1644903235635,f,,,,,,
Blush Crush - 5 Items,1607818248243,1644903432243,f,,,,,,
Blush Crush - 3 Items  Auto renew,1607897317427,1644903235635,f,,,,,,
Blush Crush - 5 Items  Auto renew,1607900201011,1644903432243,f,,,,,,
