subscription_id,product_title,shopify_product_id,next_charge_scheduled_at
27468484,Wine & Roses - 3 Items,1494850863155,12/14/18 0:00
26538306,3 MONTHS,1494813966387,2/7/19 0:00
26537619,3 MONTHS,1494813966387,2/7/19 0:00
26536815,3 MONTHS,1494813966387,2/7/19 0:00
27455794,Wrap Me Up - 3 Items,1494851289139,11/24/18 0:00
27465599,3 MONTHS,1494813966387,3/14/19 0:00
28078406,Wrap Me Up - 3 Items,1494851289139,12/23/18 0:00
26527047,3 Months 3 items,1421100974131,2/7/19 0:00
26505993,3 Months 3 items,1421100974131,2/7/19 0:00
26491863,3 MONTHS,1494813966387,3/7/19 0:00
26474559,3 MONTHS,1494813966387,3/7/19 0:00
26466657,3 Months 3 items,1421100974131,3/7/19 0:00
26417736,Wrap Me Up - 3 Items,1494851289139,12/6/18 0:00
26416053,3 Months 3 items,1421100974131,2/6/19 0:00
26414721,3 Months 3 items,1421100974131,2/6/19 0:00
26413791,3 Months 3 items,1421100974131,2/6/19 0:00
26339778,3 MONTHS,1494813966387,2/5/19 0:00
26327223,3 MONTHS,1494813966387,2/5/19 0:00
26327217,3 Months 3 items,1421100974131,2/5/19 0:00
26127279,3 MONTHS,1494813966387,2/2/19 0:00
26127276,3 Months 3 items,1421100974131,2/2/19 0:00
26040471,Color Theory - 3 Items,1494833725491,12/1/18 0:00
26039475,Think Pink - 3 Items,1452468994099,12/1/18 0:00
