prod_id_key,prod_id_value,next_month_prod_id
power_moves3,69026938898,138427301906
power_moves5,69026316306,138427203602
go_time3,52386937778,138427301906
go_time5,78480408594,138427203602
power_moves3_auto,78541520914,138427301906
power_moves5_auto,78657093650,138427203602
go_time3_auto,91049066514,138427301906
go_time5_auto1,91049230354,138427203602
go_time5_auto2,91049197586,138427203602
heart_soul_3item,91236466706,138427301906
heart_soul_3item_auto,109303332882,138427301906
heart_soul_5item,109301366802,138427203602
heart_soul_5item_auto,109301366802,138427203602
go_time_3item,52386037778,138427301906
fit_fierce_5item,91235975186,138427203602
modern_muse_5itemauto,91236368402,138427203602
power_move_3_item,69026938898,138427301906
fit_fierce_3item,91236171794,138427301906
modern_muse_5item,91236368402,138427203602
modern_muse_3item,91236466706,138427301906
fit_fierce_3itemauto,91236171794,138427301906
modern_muse_3itemauto,91236466706,138427301906
