count,product_title,shopify_product_id
7,Berry Crush - 3 Items,4366057406522
1,Berry Crush - 5 Items,4366057963578
7,Canyon Sunset - 3 Items,2525982588986
18,City Limits - 3 Items,4366061174842
1,City Limits - 3 Items  Auto renew,4366061174842
1,City Limits - 5 Items,4366066024506
12,Clean Slate - 3 Items,4373264957498
4,Clean Slate - 5 Items,4373306998842
4,Crunch Time - 3 Items,4366079787066
5,Crunch Time - 5 Items,4366080311354
5,Floral Bliss - 3 Items,4320725106746
2,Gear Up - 3 Items,4320731660346
4,Good Karma - 3 Items,4320757153850
1,Ivy League - 3 Items,4366077591610
1,Ivy League - 5 Items,4366079098938
40,Paradise Cove - 3 Items,4366058782778
10,Paradise Cove - 5 Items,4366059143226
6,Show Your Stripes - 3 Items,4320729464890
1,Show Your Stripes - 5 Items,4320730775610
2,Ultraviolet - 3 Items,2514833440826
