id,subscription_id,address_id,customer_id,created_at,updated_at,next_charge_scheduled_at,cancelled_at,product_title,price,quantity,status,shopify_product_id,shopify_variant_id,sku,order_interval_unit,order_interval_frequency,charge_interval_frequency,order_day_of_month,order_day_of_week,raw_line_item_properties,synced_at,expire_after_specific_number_charges
3107,9343316,6285653,6507662,11/25/17 17:08,12/28/17 21:05,1/25/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""S""}]",,0
3285,9311206,6266836,6488821,11/24/17 18:54,12/10/17 15:32,1/24/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""M""}]",,0
3489,9270113,6241811,6464537,11/23/17 18:28,12/12/17 23:06,1/23/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""M""}]",,0
3854,9145668,6164184,6387135,11/19/17 3:53,12/27/17 18:46,1/19/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""leggings"", ""value"": ""M""}, {""name"": ""sports-bra"", ""value"": ""L""}, {""name"": ""tops"", ""value"": ""XL""}]",,0
4270,9030838,6099388,6315409,11/14/17 21:39,12/12/17 22:10,1/14/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""M""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""S""}, {""name"": ""wrap"", ""value"": ""One Size""}]",,0
5963,8530204,5807980,6019360,10/29/17 21:50,12/26/17 15:07,1/29/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""S""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""S""}, {""name"": ""sports-jacket"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""S""}]",,0
6005,8489091,5782581,5993664,10/28/17 6:08,12/22/17 8:37,1/28/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XS""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XS""}, {""name"": ""sports-jacket"", ""value"": ""XS""}, {""name"": ""tops"", ""value"": ""XS""}]",,0
6117,8420849,5741003,5951363,10/25/17 15:08,12/8/17 14:55,1/25/18 0:00,,Alternate Monthly Box,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""L""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""M""}, {""name"": ""sports-jacket"", ""value"": ""M""}, {""name"": ""tops"", ""value"": ""L""}]",,0
6218,8361014,5704244,5913659,10/23/17 12:58,12/18/17 16:31,1/23/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XS""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XS""}, {""name"": ""sports-jacket"", ""value"": ""S""}, {""name"": ""tops"", ""value"": ""XS""}]",,0
6280,8332308,5686773,5895651,10/22/17 10:41,12/20/17 16:15,1/22/18 0:00,,Go Time - 5 Item,49.95,1,ACTIVE,44383469586,3.88701E+11,7.22458E+11,month,1,1,0,,"[{""name"": ""charge_interval_frequency"", ""value"": ""1""}, {""name"": ""charge_interval_unit_type"", ""value"": ""Months""}, {""name"": ""leggings"", ""value"": ""XS""}, {""name"": ""main-product"", ""value"": ""true""}, {""name"": ""shipping_interval_frequency"", ""value"": ""1""}, {""name"": ""shipping_interval_unit_type"", ""value"": ""Months""}, {""name"": ""sports-bra"", ""value"": ""XS""}, {""name"": ""sports-jacket"", ""value"": ""XS""}, {""name"": ""tops"", ""value"": ""XS""}]",,0
